Escuela 124,T4132XBE,Tucumán
Vilca Pozo,T4111XBZ,Tucumán
Palo Blanco,T4161XAD,Tucumán
Escuela 333,T4128XAV,Tucumán
9 de Julio,T4242XAF,Tucumán
Campo de las Gallinas,T4137XBZ,Tucumán
Escuela 159,T4162XBH,Tucumán
Tucumán,T4105XAR,La Banda
Colonia los Chasales,T4105XBO,Tucumán
Escuela 131,T4172XAW,Tucumán
Escuela 73,T4162XBS,Tucumán
Benjamin Paz,T4122XAJ,Tucumán
Escuela 183,T4172XBA,Tucumán
Escuela 1 Junta,T4168XAM,Tucumán
Los Canteros,A4195XAC,Salta
El Cortaderal,T4168XCE,Tucumán
El Boyero,T4124XEC,Tucumán
Antama,T4137XBB,Tucumán
Los Britos,T4113XAH,Tucumán
Tucumán,T4178XAB,San Ignacio
Las Salinas,T4101XCZ,Tucumán
El Cambiado,G4187XAR,Santiago del Estero
El Cuarteadero,T4103XAZ,Tucumán
San Julian Yaco,T4122XAX,Tucumán
Escuela Ramon Carrillo,T4101XBC,Tucumán
Calimayo,T4105XBL,Tucumán
El Bagual,T4178XFG,Tucumán
Buen Retiro,T4132XAR,Tucumán
Escuela 25,T4162XAO,Tucumán
Escuela 131,Buscar CPA,tucuman
Santa Luisa,T4186XAM,Tucumán
Poliar,T4174XBC,Tucumán
Escuela 173,T4187XBN,Tucumán
Taco,T4117XAN,Tucumán
Escuela Monte Grande,T4132XCF,Tucumán
Escuela 222,T4128XAR,Tucumán
7 de Abril,Buscar CPA,Tucumán
El Remate,G4195XAA,Santiago del Estero
Escuela Ing Bertre,T4128XBG,Tucumán
La Esperanza,T4151XAA,Tucumán
Santillan,T4186XAN,Tucumán
Escuela 207,Buscar CPA,tucuman
Ruta Nacional 38,T4142XCK,Tucumán
Campo Alegre,T4176XBW,Tucumán
El Nial,T4176XCM,Tucumán
Higueritas,T4107XAH,Tucumán
Escuela 210,T4101XAL,Tucumán
Soledad,T4115XAZ,Tucumán
La Iguana,T4242XAL,Tucumán
Escuela 114,T4168XED,Tucumán
Kilometro 1438,T4162XBY,Tucumán
La Libertad,T4186XAF,Tucumán
Tucumán,T4168XCM,Agua Blanca
El Puesto del Medio,T4187XAC,Tucumán
Escuela 353,T4187XAV,Tucumán
El Mistol,T4124XCX,Tucumán
El Palcara,T4151XAT,Tucumán
El Tiro Argentino,T4103XAK,Tucumán
Los Villagra,T4178XFC,Tucumán
Colonia Sobrecasa,T4168XDS,Tucumán
Mixta,T4115XAR,Tucumán
Mercedes,T4152XAJ,Tucumán
Escuela 186,T4146XAG,Tucumán
Escuela 153,T4168XEJ,Tucumán
El Churquis,T4142XAX,Tucumán
Escuela 369,T4187XAY,Tucumán
Escuela 187,T4176XAW,Tucumán
Escuela Ee Uu,T4101XAY,Tucumán
Tucumán,T4111XAJ,Pacara Pintado
Tusca Pozo,G4322XBT,Santiago del Estero
Barrio Diagonal,T4101XAE,Tucumán
Escuela 146,Buscar CPA,tucuman
Luz y Fuerza,T4103XAN,Tucumán
Animas,T4176XBZ,Tucumán
Escuela 180,Buscar CPA,tucuman
Salamanca,T4122XAV,Tucumán
Escuela 100,T4132XBD,Tucumán
Escuela 123,T4176XBD,Tucumán
La Aguada,T4124XBD,Tucumán
Escuela Ibatin,T4142XCV,Tucumán
Escuela 195,T4168XAL,Tucumán
Escuela 361,T4142XBP,Tucumán
Finca Pereyra,T4135XAB,Tucumán
Los Chañares,T4141XAW,Tucumán
Tucumán,T4137XEB,La Maravilla
Campo Azul,T4115XBU,Tucumán
Planta Compresora Ypf,T4174XBB,Tucumán
Tucumán,T4111XAT,Cortaderas
Cañada Alegre,T4119XBP,Tucumán
Escuela Manuel Borda,T4142XBR,Tucumán
Aguadita,T4101XAA,Tucumán
Colonia San Luis,T4178XBV,Tucumán
Los Zelayas,T4115XBC,Tucumán
