id,name,zip,sate
0000807,Tucumán,T4115XAX,San Antonio
0000808,Escuela L Blanco,T4128XBH,Tucumán
0000809,Tucumán,T4119XFK,La Cruz
0000810,Sala Vieja,T4242XBE,Tucumán
0000811,Escuela 368,T4187XAX,Tucumán
0000812,El Portezuelo,T4117XBO,Tucumán
0000813,Las Cañadas,T4113XAX,Tucumán
0000814,Muyo,T4146XBN,Tucumán
0000815,Los Vazquez,T4105XBI,Tucumán
0000816,Pozo Largo,T4195XAC,Tucumán
0000817,Escuela 134,T4172XCX,Tucumán
0000818,Rodeo Grande,T4122XAU,Tucumán
0000819,La Puerta de Marapa,T4158XAR,Tucumán
0000820,Posta,T4157XAA,Tucumán
0000821,Kilometro 781,T4184XAE,Tucumán
0000822,Escuela 150,T4187XAP,Tucumán
0000823,Colonia el Puesto,T4178XAE,Tucumán
0000824,Villa Tercera,T4182XAG,Tucumán
0000825,Kilometro 1185,T4174XBA,Tucumán
0000826,Escuela 242,T4187XBS,Tucumán
0000827,El Carrizal,T4141XAD,Tucumán
0000828,Escuela 36,T4172XBL,Tucumán
0000829,Los Juarez,T4113XAL,Tucumán
0000830,Campo Volante,T4172XCJ,Tucumán
0000831,El Zauzal,T4124XAE,Tucumán
0000832,Escuela 262,T4187XBV,Tucumán
0000833,Potrerillos,A4411XAT,Salta
0000834,Lagarte,T4174XAG,Tucumán
0000835,La Candelaria,A4126XAM,Salta
0000836,Las Brisas,T4242XAY,Tucumán
0000837,Tucumán,T4142XCK,Ruta Nacional 38
0000838,Colonia Santa Lucia,T4132XBP,Tucumán
0000839,Rosario Oeste,T4111XBC,Tucumán
0000840,El Cruce,T4178XCE,Tucumán
0000841,Escuela 260,T4128XAI,Tucumán
0000842,San Jose de Leales,T4113XAP,Tucumán
0000843,El Timbo,Buscar CPA,Tucumán
0000844,Escuela 276,T4187XBX,Tucumán
0000845,Zapallar,T4159XAH,Tucumán
0000846,Estacion Experimental Agricola,T4101XCQ,Tucumán
0000847,Dolavon,T4161XAL,Tucumán
0000848,Aragon,T4122XBG,Tucumán
0000849,Escuela 281,T4142XCT,Tucumán
0000850,Colonia Bascary,T4132XBN,Tucumán
0000851,Las Banderitas,T4132XAV,Tucumán
0000852,Las Tablitas,T4158XBJ,Tucumán
0000853,Loma Colorada,T4141XAV,Tucumán
0000854,Colonia Santa Clara,Buscar CPA,tucuman
0000855,La Ramadita,T4135XAE,Tucumán
0000856,Cochamolle,T4146XBS,Tucumán
0000857,Santa Lucia,Buscar CPA,tucuman
0000858,Casales,T4119XBW,Tucumán
0000859,Huacra,T4162XBW,Tucumán
0000860,Puertas,T4122XBR,Tucumán
