Tafi Viejo,Calle Tucuman
Ingenio Santa Barbara,Calle Luis Diaz
Tafi Viejo,Calle Jose Colombres Este
Santa Lucia,Pasaje Avellaneda
San Miguel de Tucuman,Calle Dr Juan Brigido Teran
Bella Vista,Calle Diego de Rojas
San Miguel de Tucuman,Calle Lisandro Borda
San Miguel de Tucuman,Pasaje Zenon Santillan
Acheral,Calle Catamarca
Acheral,Calle Miguel Lillo
San Miguel de Tucuman,Avenida Cnel Manuel Suarez
Banda del Rio Sali,Calle Juan Crisostomo Mendez
El Manantial,Calle Sarmiento
La Cocha,Calle Gustavo Adolfo Becquer
San Miguel de Tucuman,Pasaje Patricio Islas
Colalao del Valle,Avenida Los Saucos
Banda del Rio Sali,Calle 4
Graneros,Calle Congreso
Medinas,Calle 2
San Miguel de Tucuman,Avenida L N Alem
San Miguel de Tucuman,Pasaje Papa Leon XIII
Lastenia,Calle 1 de Mayo
Tafi Viejo,Calle Belgrano
Lules,Calle Alberti
El Manantial,Pasaje San Luis
El Manantial,Calle Lavalle
Tafi Viejo,Calle Manuela Pedraza
Juan Bautista Alberdi,Calle Lamadrid
Lastenia,Pasaje Cabildo
San Miguel de Tucuman,Calle Italia
Juan Bautista Alberdi,Calle Laprida
Banda del Rio Sali,Avenida Independencia
Aguilares,Calle Paris
El Bracho,Calle 1 Este Oeste
El Manantial,Calle Dr Nicolas Avellaneda
Juan Bautista Alberdi,Calle España
Juan Bautista Alberdi,Calle Mariano Macias
Villa Quinteros,Calle Entre Rios
San Miguel de Tucuman,Calle 20 de Junio
San Miguel de Tucuman,Calle Rep de Siria
San Miguel de Tucuman,Calle Las Heras
Juan Bautista Alberdi,Calle French
El Chañar,Calle Pres Bernardino Rivadavia
Tafi Viejo,Pasaje Villagra
Aguilares,Calle Cnel Juan Pringles
El Cruce,Calle 4
La Cocha,Calle La Rioja
San Miguel de Tucuman,Calle Pio XII
San Miguel de Tucuman,Avenida Silvano Bores
San Miguel de Tucuman,Calle Sgto Juan B Cabral
San Miguel de Tucuman,Pasaje Olavarria
Tafi Viejo,Calle Muñecas Norte
El Manantial,Pasaje Federico Helguera
Villa Quinteros,Calle H Manchala Oeste
Bella Vista,Calle Tejerina
Tafi Viejo,Calle Maipu
El Chañar,Calle Salta
Aguilares,Calle Misiones
Villa la Trinidad,Calle B Araoz
Alderetes,Calle Emilia Perez de Constant
Tafi Viejo,Calle 31 de Octubre
Cevil Redondo,Pasaje Peru
Alderetes,Calle Gral Guemes
San Miguel de Tucuman,Pasaje Bustamante
El Bracho,Calle 6 Este Oeste
San Miguel de Tucuman,Pasaje Dr G Martinez Zuviria
San Miguel de Tucuman,Pasaje Pje 43
San Miguel de Tucuman,Pasaje Holmberg
Banda del Rio Sali,Calle Miguel Lillo
San Miguel de Tucuman,Pasaje 25 38 no
Aguilares,Pasaje Granaderos
Alderetes,Pasaje Vicente Lopez y Planes
San Miguel de Tucuman,Avenida Provincia de Salta
San Miguel de Tucuman,Pasaje Jose Alvarez
Graneros,Calle 9 de Julio
Villa la Trinidad,Calle Ayacucho
Aguilares,Calle Gral Jose M Paz Este
Famailla,Pasaje Guillermina Mereyro
Aguilares,Calle 4
Los Sarmientos,Calle 25 de Mayo
Ingenio Santa Barbara,Calle Ayohuma
Famailla,Pasaje Padilla
Alderetes,Pasaje 2 de Abril
