id,type,name,localityId
0000476,Calle,Calle Gdor Juan Luis Nougues,0001369
0000477,Calle,Avenida Las Rosas,0000082
0000478,Avenida,Calle I Baez,0000081
0000479,Calle,Calle Benjamin Villafañe,0001369
0000480,Calle,Pasaje Gral O Higgins,0001369
0000481,Calle,Diagonal Ugarte y Figueroa,0001369
0000482,Pasaje,Calle Ayacucho,0000707
0000483,Avenida,Calle 1 Norte Sur,0001101
0000484,Calle,Pasaje Pje S/N 2,0000787
0000485,Calle,Calle Pueyrredon,0001413
0000486,Calle,Calle Tucuman,0001413
0000487,Avenida,Calle Luis Diaz,0001449
0000488,Pasaje,Calle Jose Colombres Este,0001413
0000489,Calle,Pasaje Avellaneda,0000857
0000490,Calle,Calle Dr Juan Brigido Teran,0001369
0000491,Calle,Calle Diego de Rojas,0000081
0000492,Pasaje,Calle Lisandro Borda,0001369
0000493,Calle,Pasaje Zenon Santillan,0001369
0000494,Calle,Calle Catamarca,0001516
0000495,Calle,Calle Miguel Lillo,0001516
0000496,Pasaje,Avenida Cnel Manuel Suarez,0001369
0000497,Calle,Calle Juan Crisostomo Mendez,0001157
0000498,Calle,Calle Sarmiento,0000391
0000499,Avenida,Calle Gustavo Adolfo Becquer,0001177
0000500,Calle,Pasaje Patricio Islas,0001369
0000501,Calle,Avenida Los Saucos,0000632
0000502,Calle,Calle 4,0001157
0000503,Calle,Calle Congreso,0001323
0000504,Calle,Calle 2,0001266
0000505,Calle,Avenida L N Alem,0001369
0000506,Calle,Pasaje Papa Leon XIII,0001369
0000507,Calle,Calle 1 de Mayo,0000449
0000508,Calle,Calle Belgrano,0001413
0000509,Calle,Calle Alberti,0000113
0000510,Calle,Pasaje San Luis,0000391
0000511,Pasaje,Calle Lavalle,0000391
0000512,Calle,Calle Manuela Pedraza,0001413
0000513,Calle,Calle Lamadrid,0001637
0000514,Calle,Pasaje Cabildo,0000449
0000515,Calle,Calle Italia,0001369
0000516,Avenida,Calle Laprida,0001637
0000517,Calle,Avenida Independencia,0001157
0000518,Pasaje,Calle Paris,0001620
0000519,Calle,Calle 1 Este Oeste,0001101
0000520,Pasaje,Calle Dr Nicolas Avellaneda,0000391
0000521,Calle,Calle España,0001637
0000522,Calle,Calle Mariano Macias,0001637
0000523,Calle,Calle Entre Rios,0000707
0000524,Calle,Calle 20 de Junio,0001369
0000525,Calle,Calle Rep de Siria,0001369
0000526,Calle,Calle Las Heras,0001369
0000527,Calle,Calle French,0001637
0000528,Calle,Calle Pres Bernardino Rivadavia,0000742
0000529,Pasaje,Pasaje Villagra,0001413
0000530,Calle,Calle Cnel Juan Pringles,0001620
0000531,Pasaje,Calle 4,0000318
0000532,Calle,Calle La Rioja,0001177
0000533,Pasaje,Calle Pio XII,0001369
0000534,Pasaje,Avenida Silvano Bores,0001369
0000535,Pasaje,Calle Sgto Juan B Cabral,0001369
0000536,Calle,Pasaje Olavarria,0001369
0000537,Pasaje,Calle Muñecas Norte,0001413
0000538,Pasaje,Pasaje Federico Helguera,0000391
0000539,Pasaje,Calle H Manchala Oeste,0000707
0000540,Avenida,Calle Tejerina,0000081
0000541,Pasaje,Calle Maipu,0001413
0000542,Calle,Calle Salta,0000742
0000543,Calle,Calle Misiones,0001620
0000544,Calle,Calle B Araoz,0000082
0000545,Pasaje,Calle Emilia Perez de Constant,0000760
0000546,Calle,Calle 31 de Octubre,0001413
0000547,Calle,Pasaje Peru,0000225
0000548,Calle,Calle Gral Guemes,0000760
0000549,Pasaje,Pasaje Bustamante,0001369
0000550,Pasaje,Calle 6 Este Oeste,0001101
0000551,Calle,Pasaje Dr G Martinez Zuviria,0001369
0000552,Pasaje,Pasaje Pje 43,0001369
0000553,Pasaje,Pasaje Holmberg,0001369
0000554,Calle,Calle Miguel Lillo,0001157
0000555,Calle,Pasaje 25 38 no,0001369
0000556,Pasaje,Pasaje Granaderos,0001620
0000557,Calle,Pasaje Vicente Lopez y Planes,0000760
0000558,Calle,Avenida Provincia de Salta,0001369
0000559,Avenida,Pasaje Jose Alvarez,0001369
0000560,Calle,Calle 9 de Julio,0001323
0000561,Calle,Calle Ayacucho,0000082
0000562,Avenida,Calle Gral Jose M Paz Este,0001620
0000563,Calle,Pasaje Guillermina Mereyro,0001615
0000564,Calle,Calle 4,0001620
0000565,Calle,Calle 25 de Mayo,0000708
0000566,Calle,Calle Ayohuma,0001449
0000567,Pasaje,Pasaje Padilla,0001615
0000568,Calle,Pasaje 2 de Abril,0000760
0000569,Calle,Calle Irigoyen,0001413
0000570,Pasaje,Pasaje Blas Parera,0000857
0000571,Calle,Pasaje Dr Carlos Cossio,0001369
0000572,Calle,Calle Fray Mamerto Esquiu,0001369
0000573,Calle,Calle Maipu,0000760
0000574,Avenida,Pasaje Sanchez de Thompson,0000760
0000575,Avenida,Calle Cordoba,0000449
0000576,Avenida,Calle 68 37,0001369
